Filename,Folder_Path,Ground_Truth_Folder,Predicted_Dept,Predicted_Desc,Confidence,Status
6896.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6896.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,34.97%,LOW_CONFIDENCE
6906.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6906.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,45.19%,LOW_CONFIDENCE
6912.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6912.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,45.83%,LOW_CONFIDENCE
6917.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6917.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,58.88%,LOW_CONFIDENCE
6919.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6919.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,22.95%,LOW_CONFIDENCE
6934.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6934.jpg,Air_Pollution,Drainage Dept,A photo of a blocked drain or sewer,26.91%,LOW_CONFIDENCE
6949.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6949.jpg,Air_Pollution,Drainage Dept,A photo of a blocked drain or sewer,24.02%,LOW_CONFIDENCE
6954.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6954.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,69.94%,MISMATCH
6955.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6955.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,27.47%,LOW_CONFIDENCE
6962.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6962.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,37.16%,LOW_CONFIDENCE
6963.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6963.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,81.31%,MISMATCH
6967.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\6967.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,46.54%,LOW_CONFIDENCE
7033.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7033.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,55.37%,LOW_CONFIDENCE
7035.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7035.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,42.59%,LOW_CONFIDENCE
7041.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7041.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,38.63%,LOW_CONFIDENCE
7045.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7045.jpg,Air_Pollution,Electricity Dept,A photo of a broken street light,39.26%,LOW_CONFIDENCE
7053.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7053.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,40.47%,LOW_CONFIDENCE
7054.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7054.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,27.89%,LOW_CONFIDENCE
7055.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7055.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,41.08%,LOW_CONFIDENCE
7059.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7059.jpg,Air_Pollution,Civil Engineering Dept,A photo of a broken road or pothole,32.40%,LOW_CONFIDENCE
7103.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7103.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,77.20%,MISMATCH
7105.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7105.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,78.03%,MISMATCH
7151.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7151.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,50.14%,LOW_CONFIDENCE
7167.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7167.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,28.68%,LOW_CONFIDENCE
7183.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7183.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,46.73%,LOW_CONFIDENCE
7201.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7201.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,95.00%,MISMATCH
7244.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7244.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,50.98%,LOW_CONFIDENCE
7294.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7294.jpg,Air_Pollution,Civil Engineering Dept,A photo of a broken road or pothole,62.72%,MATCH
7302.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7302.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,53.27%,LOW_CONFIDENCE
7313.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7313.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,92.10%,MISMATCH
7317.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7317.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,54.42%,LOW_CONFIDENCE
7321.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7321.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,89.75%,MATCH
7324.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7324.jpg,Air_Pollution,Drainage Dept,A photo of water logging or flooded street,42.06%,LOW_CONFIDENCE
7327.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7327.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,33.83%,LOW_CONFIDENCE
7359.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7359.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,33.36%,LOW_CONFIDENCE
7380.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7380.jpg,Air_Pollution,Drainage Dept,A photo of a blocked drain or sewer,41.93%,LOW_CONFIDENCE
7421.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7421.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,25.18%,LOW_CONFIDENCE
7424.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7424.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,41.37%,LOW_CONFIDENCE
7425.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7425.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,73.92%,MISMATCH
7427.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7427.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,40.96%,LOW_CONFIDENCE
7430.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7430.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,54.48%,LOW_CONFIDENCE
7438.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7438.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,54.71%,LOW_CONFIDENCE
7489.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7489.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,49.25%,LOW_CONFIDENCE
7516.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7516.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,98.78%,MISMATCH
7517.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7517.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,27.68%,LOW_CONFIDENCE
7518.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7518.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,31.62%,LOW_CONFIDENCE
7520.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7520.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,62.16%,MISMATCH
7523.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7523.jpg,Air_Pollution,Horticulture Dept,A photo of a fallen tree,51.17%,LOW_CONFIDENCE
7524.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7524.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,34.26%,LOW_CONFIDENCE
7529.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7529.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,57.06%,LOW_CONFIDENCE
7536.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7536.jpg,Air_Pollution,Horticulture Dept,A photo of a fallen tree,39.59%,LOW_CONFIDENCE
7536_1.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7536_1.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,92.17%,MISMATCH
7539.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7539.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,97.40%,MISMATCH
7542.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7542.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,43.53%,LOW_CONFIDENCE
7544.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7544.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,50.76%,LOW_CONFIDENCE
7547.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7547.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,61.96%,MISMATCH
7550.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7550.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,38.74%,LOW_CONFIDENCE
7552.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7552.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,51.44%,LOW_CONFIDENCE
7566.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7566.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,67.11%,MISMATCH
7567.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7567.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,82.11%,MISMATCH
7575.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7575.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,51.38%,LOW_CONFIDENCE
7580.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7580.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,82.83%,MISMATCH
7581.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7581.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,28.83%,LOW_CONFIDENCE
7583.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7583.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,73.67%,MISMATCH
7586.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7586.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,72.91%,MISMATCH
7587.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7587.jpg,Air_Pollution,Civil Engineering Dept,A photo of a broken road or pothole,39.12%,LOW_CONFIDENCE
7589.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7589.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,46.90%,LOW_CONFIDENCE
7590.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7590.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,63.73%,MATCH
7601.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7601.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,84.38%,MISMATCH
7602.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7602.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,61.31%,MISMATCH
7675.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7675.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,31.43%,LOW_CONFIDENCE
7677.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7677.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,54.77%,LOW_CONFIDENCE
7699.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7699.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,84.82%,MISMATCH
7721.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7721.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,79.06%,MISMATCH
7744.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7744.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,67.40%,MATCH
7757.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7757.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,62.39%,MATCH
7760.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7760.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,76.48%,MATCH
7765.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7765.jpg,Air_Pollution,Drainage Dept,A photo of water logging or flooded street,43.65%,LOW_CONFIDENCE
7832.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7832.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,66.83%,MATCH
7838.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7838.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,36.77%,LOW_CONFIDENCE
7898.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7898.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,83.96%,MISMATCH
7899.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7899.jpg,Air_Pollution,Drainage Dept,A photo of water logging or flooded street,82.34%,MISMATCH
7902.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7902.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,71.16%,MATCH
7914.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7914.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,43.69%,LOW_CONFIDENCE
7939.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7939.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,79.88%,MISMATCH
7967.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7967.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,33.20%,LOW_CONFIDENCE
7975.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\7975.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,65.29%,MATCH
8036.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8036.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,56.28%,LOW_CONFIDENCE
8039.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8039.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,63.79%,MATCH
8042.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8042.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,61.61%,MISMATCH
8044.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8044.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,67.13%,MATCH
8049.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8049.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,69.73%,MISMATCH
8060.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8060.jpg,Air_Pollution,Public Health Dept,A photo of dead animal on street,28.80%,LOW_CONFIDENCE
8071.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8071.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,57.49%,LOW_CONFIDENCE
8074.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8074.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,93.50%,MISMATCH
8077.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8077.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,81.77%,MISMATCH
8082.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8082.jpg,Air_Pollution,Civil Engineering Dept,A photo of damaged pavement or footpath,47.78%,LOW_CONFIDENCE
8085.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8085.jpg,Air_Pollution,Drainage Dept,A photo of water logging or flooded street,63.26%,MISMATCH
8088.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8088.jpg,Air_Pollution,Drainage Dept,A photo of water logging or flooded street,31.38%,LOW_CONFIDENCE
8103.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8103.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,48.86%,LOW_CONFIDENCE
8118.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8118.jpg,Air_Pollution,Drainage Dept,A photo of water logging or flooded street,60.68%,MISMATCH
8122.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8122.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,54.60%,LOW_CONFIDENCE
8124.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8124.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,36.25%,LOW_CONFIDENCE
8125.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8125.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,46.38%,LOW_CONFIDENCE
8129.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8129.jpg,Air_Pollution,Drainage Dept,A photo of water logging or flooded street,82.08%,MISMATCH
8134.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8134.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,63.18%,MATCH
8135.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8135.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,33.76%,LOW_CONFIDENCE
8137.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8137.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,27.82%,LOW_CONFIDENCE
8144.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8144.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,47.11%,LOW_CONFIDENCE
8145.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8145.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,47.21%,LOW_CONFIDENCE
8146.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8146.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,43.32%,LOW_CONFIDENCE
8147.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8147.jpg,Air_Pollution,Horticulture Dept,A photo of unmaintained park or dry plants,40.37%,LOW_CONFIDENCE
8148.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8148.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,70.74%,MATCH
8153.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8153.jpg,Air_Pollution,Civil Engineering Dept,A photo of construction material dumped on road,29.16%,LOW_CONFIDENCE
8153_1.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8153_1.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,81.99%,MISMATCH
8230.jpg,Air_Pollution\Air_Pollution-_Barren_land_to_be_greened\8230.jpg,Air_Pollution,Enforcement Dept,A photo of illegal shop or encroachment on footpath,81.00%,MISMATCH
